iter	RMSE
406	26289.27003
407	26284.32277
408	26260.53228
409	26252.22411
410	26243.29096
411	26221.71178
412	26210.01817
413	26205.46044
414	26189.6307
415	26173.70635
416	26155.35637
417	26145.04916
418	26125.20721
419	26122.82538
420	26106.79287
421	26091.60539
422	26077.91597
423	26064.65903
424	26052.65613
425	26025.80271
426	26003.22947
427	25985.28436
428	25960.25302
429	25956.72082
430	25952.17489
431	25934.57005
432	25924.65086
433	25922.41015
434	25894.5366
435	25890.43101
436	25866.70473
437	25854.11541
438	25845.01744
439	25834.80157
440	25799.69503
441	25759.03611
442	25752.94561
443	25745.94994
444	25728.66181
445	25724.04946
446	25705.23629
447	25678.11249
448	25674.3861
449	25651.08284
450	25639.55248
451	25628.01003
452	25609.03395
453	25598.83602
454	25579.30224
455	25554.51734
456	25547.36391
457	25538.27337
458	25514.58776
459	25492.28476
460	25490.05552
461	25473.92529
462	25465.21108
463	25454.6398
464	25429.43835
465	25422.87328
466	25413.68569
467	25409.93186
468	25392.46403
469	25384.50211
470	25373.00848
471	25358.29037
472	25339.40827
473	25322.68649
474	25295.39559
475	25282.24217
476	25278.59141
477	25276.20368
478	25272.92369
479	25257.53621
480	25253.08779
481	25250.80305
482	25234.44333
483	25231.41076
484	25228.08196
485	25200.55067
486	25196.23258
487	25179.36664
488	25177.21815
489	25175.12812
490	25171.98152
491	25169.96598
492	25168.0011
493	25163.61869
494	25161.07426
495	25158.08835
496	25145.59585
497	25143.70911
498	25121.47067
499	25103.96771
500	25100.2827
501	25080.76434
502	25075.12895
503	25068.00281
504	25053.50557
505	25043.14545
506	25026.13757
507	25016.04021
508	25014.20529
509	24991.97439
510	24983.27832
511	24975.47062
512	24956.07595
513	24945.11434
514	24929.5674
515	24920.93764
516	24914.48988
517	24907.62311
518	24900.11317
519	24892.68444
520	24872.88129
521	24860.15787
522	24850.85057
523	24842.08784
524	24832.31146
525	24826.07206
526	24811.45928
527	24809.65277
528	24796.28066
529	24793.14032
530	24785.57026
531	24770.00041
532	24758.86852
533	24753.67801
534	24748.11689
535	24746.362
536	24736.23075
537	24708.6431
538	24693.24037
539	24675.67222
540	24644.62562
541	24634.74745
542	24612.99942
543	24604.12715
544	24591.0546
545	24586.48785
546	24579.44368
547	24546.15214
548	24531.25186
549	24518.62211
550	24502.19799
551	24467.1359
552	24460.22916
553	24446.18101
554	24444.45796
555	24427.93556
556	24425.00196
557	24417.37407
558	24408.56411
559	24392.93062
560	24391.25314
561	24380.53643
562	24364.4663
563	24343.62917
564	24336.72422
565	24335.103
566	24317.1495
567	24284.32878
568	24265.13233
569	24252.96698
570	24241.77401
571	24225.65555
572	24219.65144
573	24209.07874
574	24198.59166
575	24190.01713
576	24176.35597
577	24156.54632
578	24147.69347
579	24135.50194
580	24127.42283
581	24121.3463
582	24110.23099
583	24102.29637
584	24099.58303
585	24090.11814
586	24070.70254
587	24061.40963
588	24043.07569
589	24038.80543
590	24033.70157
591	24024.60806
592	24011.58267
593	24002.01796
594	23996.93774
595	23981.93301
596	23968.48522
597	23941.58599
598	23922.80945
599	23902.89699
600	23897.09787
601	23880.92143
602	23867.19403
603	23851.78381
604	23850.14681
605	23844.78697
606	23839.50866
607	23813.85836
608	23806.02295
609	23788.86482
610	23770.19794
611	23752.3954
612	23747.3185
613	23732.36651
614	23724.22129
615	23715.6033
616	23707.14486
617	23693.79645
618	23691.4386
619	23674.69968
620	23654.2062
621	23641.90126
622	23640.30158
623	23634.21923
624	23620.69293
625	23604.32317
626	23602.73855
627	23582.11067
628	23560.56417
629	23539.64513
630	23525.6159
631	23501.40044
632	23484.74291
633	23480.14368
634	23474.42139
635	23465.06507
636	23459.63772
637	23428.17686
638	23419.27476
639	23412.24536
640	23398.69025
641	23389.35898
642	23378.82969
643	23369.23868
644	23353.91923
645	23333.22241
646	23316.14486
647	23307.50636
648	23293.68287
649	23284.62373
650	23275.43683
651	23267.773
652	23252.87593
653	23237.25103
654	23221.79565
655	23192.20084
656	23168.18551
657	23148.26027
658	23144.00643
659	23142.46619
660	23122.96341
661	23109.58748
662	23098.71848
663	23070.70906
664	23058.67862
665	23057.18389
666	23048.19195
667	23024.34962
668	23006.94604
669	23003.51665
670	22990.72017
671	22984.76704
672	22972.21259
673	22961.24026
674	22953.12487
675	22951.45038
676	22943.88369
677	22924.99105
678	22920.04553
679	22908.16563
680	22900.80938
681	22889.70314
682	22880.14208
683	22871.70675
684	22866.90608
685	22864.42253
686	22856.28802
687	22848.32136
688	22843.14398
689	22834.91102
690	22821.58567
691	22810.4267
692	22802.94695
693	22777.71862
694	22751.87047
695	22741.67632
696	22737.88574
697	22721.20022
698	22710.65778
699	22705.89045
700	22690.1205
701	22667.96792
702	22655.93068
703	22640.22267
704	22632.4666
705	22610.98405
706	22605.45959
707	22598.36344
708	22591.94832
709	22572.66308
